20251019-1,606646
20251019-2,381453
20251019-3,342636
20251019-4,332893
20251019-5,312582
20251019-6,259753
20251019-7,188306
20251019-8,178594
20251019-9,170453
20251019-10,169550
20251019-11,169528
20251019-12,169100
20251019-13,169030
20251019-14,168916
20251019-15,168613
20251019-16,166127
20251019-17,164821
20251019-18,156870
20251019-19,154861
20251019-20,143261
20251019-21,140225
20251019-22,137600
20251019-23,133556
20251019-24,133272
20251019-25,129055
20251019-26,123222
20251019-27,122416
20251019-28,121675
20251019-29,120977
20251019-30,120802
20251019-31,120534
20251019-32,120225
20251019-33,119936
20251019-34,118902
20251019-35,116455
20251019-36,115702
20251019-37,114090
20251019-38,109417
20251019-39,100320
20251019-40,94913
20251019-41,94585
20251019-42,92150
20251019-43,87729
20251019-44,84118
20251019-45,83695
20251019-46,82070
20251019-47,81365
20251019-48,80792
20251019-49,80709
20251019-50,80508
20251019-51,79978
20251019-52,79923
20251019-53,79561
20251019-54,78661
20251019-55,77364
20251019-56,76795
20251019-57,76424
20251019-58,74745
20251019-59,74695
20251019-60,74417
20251019-61,73333
20251019-62,72991
20251019-63,72157
20251019-64,71877
20251019-65,71429
20251019-66,67999
20251019-67,66683
20251019-68,65536
20251019-69,65505
20251019-70,64416
20251019-71,64177
20251019-72,64174
20251019-73,64025
20251019-74,63639
20251019-75,62923
20251019-76,62635
20251019-77,58593
20251019-78,57108
20251019-79,56450
20251019-80,56309
20251019-81,56151
20251019-82,53722
20251019-83,53706
20251019-84,53589
20251019-85,52871
20251019-86,52514
20251019-87,51577
20251019-88,51020
20251019-89,50533
20251019-90,48502
20251019-91,46685
20251019-92,46669
20251019-93,46371
20251019-94,46302
20251019-95,46132
20251019-96,45702
20251019-97,45275
20251019-98,44855
20251019-99,44839
20251019-100,44738
20251019-101,44663
20251019-102,44091
20251019-103,43971
20251019-104,43957
20251019-105,43847
