20251107-1,459812
20251107-2,441482
20251107-3,429499
20251107-4,350571
20251107-5,260993
20251107-6,251004
20251107-7,249909
20251107-8,232228
20251107-9,229815
20251107-10,199005
20251107-11,194614
20251107-12,193636
20251107-13,193518
20251107-14,193459
20251107-15,187006
20251107-16,182667
20251107-17,179781
20251107-18,178034
20251107-19,178027
20251107-20,177815
20251107-21,177594
20251107-22,176417
20251107-23,175767
20251107-24,175254
20251107-25,171632
20251107-26,171569
20251107-27,171541
20251107-28,149737
20251107-29,149226
20251107-30,149117
20251107-31,144473
20251107-32,143984
20251107-33,136921
20251107-34,135000
20251107-35,130649
20251107-36,128765
20251107-37,127922
20251107-38,125282
20251107-39,124243
20251107-40,116522
20251107-41,115462
20251107-42,113959
20251107-43,111789
20251107-44,106915
20251107-45,104849
20251107-46,102722
20251107-47,100298
20251107-48,100248
20251107-49,98444
20251107-50,97289
20251107-51,96786
20251107-52,96370
20251107-53,95688
20251107-54,94063
20251107-55,92356
20251107-56,91803
20251107-57,91365
20251107-58,91296
20251107-59,90777
20251107-60,90622
20251107-61,90522
20251107-62,88872
20251107-63,88197
20251107-64,88086
20251107-65,87388
20251107-66,86760
20251107-67,85229
20251107-68,85142
20251107-69,84169
20251107-70,80498
20251107-71,79034
20251107-72,77990
20251107-73,77356
20251107-74,77046
20251107-75,76704
20251107-76,76357
20251107-77,75091
20251107-78,74926
20251107-79,74147
20251107-80,73536
20251107-81,72728
20251107-82,72437
20251107-83,71618
20251107-84,71120
20251107-85,70274
20251107-86,67905
20251107-87,67770
20251107-88,67683
20251107-89,67445
20251107-90,67128
20251107-91,64952
20251107-92,60236
20251107-93,58746
20251107-94,58731
20251107-95,58179
20251107-96,57554
20251107-97,57530
20251107-98,57438
20251107-99,56635
20251107-100,55783
20251107-101,55514
20251107-102,55453
20251107-103,55392
20251107-104,55387
20251107-105,54870
20251107-106,52960
20251107-107,52095
20251107-108,52048
20251107-109,49938
20251107-110,49879
20251107-111,48639
20251107-112,48359
20251107-113,47180
20251107-114,46976
20251107-115,46946
20251107-116,45344
20251107-117,42468
20251107-118,42343
20251107-119,40293
20251107-120,39310
20251107-121,38383
20251107-122,38292
20251107-123,38056
20251107-124,37132
20251107-125,37107
20251107-126,36779
20251107-127,36635
20251107-128,36615
20251107-129,36584
20251107-130,36389
20251107-131,36365
20251107-132,35611
20251107-133,35488
20251107-134,35478
20251107-135,35421
20251107-136,35241
20251107-137,34914
20251107-138,34845
20251107-139,34673
20251107-140,34477
20251107-141,34347
20251107-142,34269
20251107-143,32992
20251107-144,32035
20251107-145,31377
20251107-146,31166
20251107-147,31136
20251107-148,31003
20251107-149,30990
20251107-150,30538
20251107-151,30476
20251107-152,30381
20251107-153,30091
20251107-154,29965
20251107-155,29932
20251107-156,29892
20251107-157,29725
20251107-158,29724
20251107-159,29602
20251107-160,29575
20251107-161,29439
20251107-162,29428
20251107-163,29393
20251107-164,29203
20251107-165,29190
20251107-166,29159
20251107-167,29091
20251107-168,28606
20251107-169,28526
20251107-170,28258
20251107-171,28254
20251107-172,27565
20251107-173,27559
20251107-174,27468
20251107-175,27253
20251107-176,26928
20251107-177,26907
20251107-178,26904
20251107-179,26891
20251107-180,26884
20251107-181,26838
20251107-182,26831
20251107-183,26823
20251107-184,26815
20251107-185,26800
20251107-186,26794
20251107-187,26738
20251107-188,26602
20251107-189,26579
20251107-190,26422
20251107-191,26178
20251107-192,26027
20251107-193,25869
20251107-194,25699
20251107-195,25499
20251107-196,24629
20251107-197,24601
20251107-198,24514
20251107-199,24252
20251107-200,23507
20251107-201,23481
20251107-202,22980
20251107-203,22825
20251107-204,22765
20251107-205,22410
20251107-206,21939
20251107-207,21868
20251107-208,21775
20251107-209,21596
20251107-210,21461
20251107-211,21457
20251107-212,21423
20251107-213,21268
20251107-214,20893
20251107-215,20696
20251107-216,20609
20251107-217,20486
20251107-218,20193
20251107-219,19993
20251107-220,19901
20251107-221,19448
20251107-222,19430
20251107-223,19430
20251107-224,19060
20251107-225,19052
20251107-226,18985
20251107-227,18701
20251107-228,18536
20251107-229,18354
20251107-230,18347
20251107-231,18338
20251107-232,18327
20251107-233,18241
20251107-234,18194
20251107-235,18190
20251107-236,18128
20251107-237,18057
20251107-238,18045
20251107-239,17999
20251107-240,17947
20251107-241,17913
20251107-242,17912
20251107-243,17787
20251107-244,17786
20251107-245,17416
20251107-246,17402
20251107-247,17377
20251107-248,17299
20251107-249,17214
20251107-250,17195
20251107-251,17185
20251107-252,17085
20251107-253,16997
20251107-254,16997
20251107-255,16920
20251107-256,16839
20251107-257,16803
20251107-258,16689
20251107-259,16685
20251107-260,16515
20251107-261,16491
20251107-262,16393
20251107-263,16334
20251107-264,16214
20251107-265,16085
20251107-266,16058
20251107-267,16035
20251107-268,15935
20251107-269,15894
20251107-270,15889
20251107-271,15793
20251107-272,15733
20251107-273,15703
20251107-274,15689
20251107-275,15612
20251107-276,15605
20251107-277,15605
20251107-278,15588
20251107-279,15562
20251107-280,15494
20251107-281,15447
20251107-282,15441
20251107-283,15441
20251107-284,15423
20251107-285,15414
20251107-286,15403
20251107-287,15395
20251107-288,15353
20251107-289,15305
20251107-290,15230
20251107-291,15208
20251107-292,15203
20251107-293,15175
20251107-294,15165
20251107-295,15106
20251107-296,15023
20251107-297,15006
20251107-298,14963
20251107-299,14884
20251107-300,14880
