20251016-1,1201846
20251016-2,622965
20251016-3,607286
20251016-4,440445
20251016-5,357904
20251016-6,222935
20251016-7,214780
20251016-8,213343
20251016-9,210935
20251016-10,180038
20251016-11,175972
20251016-12,170885
20251016-13,170784
20251016-14,169689
20251016-15,168990
20251016-16,168812
20251016-17,168473
20251016-18,167396
20251016-19,161730
20251016-20,158394
20251016-21,155217
20251016-22,149749
20251016-23,143255
20251016-24,123841
20251016-25,120578
20251016-26,120309
20251016-27,120094
20251016-28,119981
20251016-29,119828
20251016-30,118905
20251016-31,113485
20251016-32,111348
20251016-33,106209
20251016-34,105836
20251016-35,103063
20251016-36,93464
20251016-37,93386
20251016-38,92994
20251016-39,92490
20251016-40,92064
20251016-41,92021
20251016-42,90463
20251016-43,90149
20251016-44,89776
20251016-45,89490
20251016-46,86561
20251016-47,86339
20251016-48,84245
20251016-49,84036
20251016-50,83953
20251016-51,83886
20251016-52,83291
20251016-53,83079
20251016-54,82129
20251016-55,81513
20251016-56,81021
20251016-57,81019
20251016-58,80720
20251016-59,80585
20251016-60,80169
20251016-61,80105
20251016-62,79977
20251016-63,79972
20251016-64,79329
20251016-65,79282
20251016-66,78805
20251016-67,78684
20251016-68,78129
20251016-69,77985
20251016-70,76713
20251016-71,76435
20251016-72,76268
20251016-73,76242
20251016-74,75889
20251016-75,75636
