20251021-1,466992
20251021-2,444635
20251021-3,387930
20251021-4,355636
20251021-5,348065
20251021-6,342843
20251021-7,312280
20251021-8,270968
20251021-9,259217
20251021-10,251628
20251021-11,247044
20251021-12,186816
20251021-13,183784
20251021-14,175599
20251021-15,171564
20251021-16,168549
20251021-17,167657
20251021-18,167596
20251021-19,167174
20251021-20,162010
20251021-21,157588
20251021-22,154374
20251021-23,149148
20251021-24,143414
20251021-25,138267
20251021-26,126291
20251021-27,124226
20251021-28,123977
20251021-29,123025
20251021-30,122620
20251021-31,122495
20251021-32,122404
20251021-33,121637
20251021-34,120371
20251021-35,119749
20251021-36,119712
20251021-37,113952
20251021-38,108159
20251021-39,106221
20251021-40,106150
20251021-41,105174
20251021-42,102988
20251021-43,99507
20251021-44,98940
20251021-45,97469
20251021-46,95235
20251021-47,90371
20251021-48,84116
20251021-49,83942
20251021-50,83015
20251021-51,82007
20251021-52,81796
20251021-53,81529
20251021-54,81164
20251021-55,80410
20251021-56,80257
20251021-57,79868
20251021-58,79679
20251021-59,77547
20251021-60,77426
20251021-61,76909
20251021-62,76752
20251021-63,75422
20251021-64,75288
20251021-65,75190
20251021-66,75149
20251021-67,75129
20251021-68,74725
20251021-69,74323
20251021-70,74131
20251021-71,73602
20251021-72,73351
20251021-73,72738
20251021-74,71074
20251021-75,71030
20251021-76,71005
