20251027-1,1425934
20251027-2,1002477
20251027-3,835650
20251027-4,815972
20251027-5,742977
20251027-6,708482
20251027-7,696402
20251027-8,691681
20251027-9,548748
20251027-10,466901
20251027-11,450189
20251027-12,384128
20251027-13,381954
20251027-14,370340
20251027-15,360352
20251027-16,346448
20251027-17,345801
20251027-18,341238
20251027-19,337266
20251027-20,286043
20251027-21,274897
20251027-22,274571
20251027-23,269057
20251027-24,264882
20251027-25,254709
20251027-26,249520
20251027-27,234137
20251027-28,233161
20251027-29,221827
20251027-30,203056
20251027-31,197612
20251027-32,196920
20251027-33,190536
20251027-34,190369
20251027-35,183446
20251027-36,180593
20251027-37,178721
20251027-38,178216
20251027-39,176953
20251027-40,175912
20251027-41,175555
20251027-42,170017
20251027-43,145861
20251027-44,144583
20251027-45,143051
20251027-46,142216
20251027-47,138573
20251027-48,136458
20251027-49,131088
20251027-50,129481
20251027-51,129028
20251027-52,127924
20251027-53,127025
20251027-54,126951
20251027-55,122855
20251027-56,122261
20251027-57,120662
20251027-58,120323
20251027-59,120107
20251027-60,116735
20251027-61,111145
20251027-62,110140
20251027-63,109209
20251027-64,108781
20251027-65,107191
20251027-66,106114
20251027-67,103668
20251027-68,103389
20251027-69,102441
20251027-70,100573
20251027-71,100108
20251027-72,98247
20251027-73,96483
20251027-74,89888
20251027-75,87711
20251027-76,87233
20251027-77,86905
20251027-78,86620
20251027-79,86415
20251027-80,85770
20251027-81,85415
20251027-82,83685
20251027-83,83650
20251027-84,83435
20251027-85,83197
20251027-86,82811
20251027-87,81994
20251027-88,81550
20251027-89,79835
20251027-90,79407
20251027-91,78170
20251027-92,77612
20251027-93,77602
20251027-94,77069
20251027-95,76990
20251027-96,76980
20251027-97,76829
20251027-98,76349
20251027-99,72014
20251027-100,70876
20251027-101,70436
20251027-102,70032
20251027-103,69456
20251027-104,69399
20251027-105,67603
20251027-106,67005
20251027-107,66351
20251027-108,65635
20251027-109,65364
20251027-110,64966
20251027-111,64664
20251027-112,64246
20251027-113,62727
20251027-114,57571
20251027-115,57054
20251027-116,55158
20251027-117,52109
20251027-118,52000
20251027-119,51266
20251027-120,50751
20251027-121,50377
20251027-122,50121
20251027-123,46736
20251027-124,46028
20251027-125,45993
20251027-126,45988
20251027-127,45679
20251027-128,45592
20251027-129,45118
20251027-130,44789
20251027-131,44538
20251027-132,43368
20251027-133,43350
20251027-134,42549
20251027-135,41826
20251027-136,39750
20251027-137,39544
20251027-138,38113
20251027-139,38107
20251027-140,37598
20251027-141,37403
20251027-142,35861
20251027-143,35408
20251027-144,35368
20251027-145,35295
20251027-146,35075
20251027-147,35073
20251027-148,35007
20251027-149,34908
20251027-150,34901
20251027-151,34670
20251027-152,34589
20251027-153,34415
20251027-154,34110
20251027-155,34107
20251027-156,34070
20251027-157,33722
20251027-158,33513
20251027-159,33444
20251027-160,33241
20251027-161,33189
20251027-162,32916
20251027-163,32391
20251027-164,32282
20251027-165,31841
20251027-166,31818
20251027-167,30661
20251027-168,30454
20251027-169,30424
20251027-170,30331
