20251030-1,827538
20251030-2,553798
20251030-3,375842
20251030-4,357467
20251030-5,266133
20251030-6,241221
20251030-7,211299
20251030-8,194710
20251030-9,182977
20251030-10,180710
20251030-11,179212
20251030-12,179208
20251030-13,178595
20251030-14,177412
20251030-15,175086
20251030-16,165543
20251030-17,165341
20251030-18,165045
20251030-19,162185
20251030-20,162153
20251030-21,141896
20251030-22,136323
20251030-23,131529
20251030-24,131419
20251030-25,131013
20251030-26,120970
20251030-27,119125
20251030-28,118756
20251030-29,118698
20251030-30,115547
20251030-31,113786
20251030-32,109250
20251030-33,108909
20251030-34,107725
20251030-35,103481
20251030-36,99033
20251030-37,98279
20251030-38,96857
20251030-39,96694
20251030-40,94445
20251030-41,93505
20251030-42,92069
20251030-43,91890
20251030-44,91587
20251030-45,91471
20251030-46,91085
20251030-47,90934
20251030-48,90069
20251030-49,89884
20251030-50,89711
20251030-51,88014
20251030-52,87878
20251030-53,87201
20251030-54,87093
20251030-55,86964
20251030-56,86821
20251030-57,86680
20251030-58,86471
20251030-59,86460
20251030-60,85457
20251030-61,85029
20251030-62,84682
20251030-63,84488
20251030-64,84156
20251030-65,83348
20251030-66,83118
20251030-67,81583
20251030-68,80657
20251030-69,80588
20251030-70,80471
20251030-71,80166
20251030-72,79820
20251030-73,78799
20251030-74,78494
20251030-75,78070
20251030-76,76919
20251030-77,76684
20251030-78,76403
20251030-79,76384
20251030-80,76189
20251030-81,76159
20251030-82,73801
20251030-83,72526
20251030-84,71461
20251030-85,71455
20251030-86,70049
20251030-87,69434
20251030-88,68683
20251030-89,67803
20251030-90,67369
20251030-91,66919
20251030-92,65072
20251030-93,65052
20251030-94,65047
20251030-95,65032
20251030-96,63427
20251030-97,62981
20251030-98,62262
20251030-99,57343
20251030-100,56539
20251030-101,55616
20251030-102,55069
20251030-103,55062
20251030-104,54454
20251030-105,54163
20251030-106,50210
20251030-107,50122
20251030-108,49808
20251030-109,48633
20251030-110,48315
20251030-111,48255
20251030-112,46530
20251030-113,46035
20251030-114,45974
20251030-115,44022
20251030-116,43882
20251030-117,43769
20251030-118,43558
20251030-119,43003
20251030-120,42550
20251030-121,42375
20251030-122,41778
20251030-123,40541
20251030-124,38581
20251030-125,38355
20251030-126,37896
20251030-127,37797
20251030-128,37404
20251030-129,37023
20251030-130,36582
20251030-131,36332
20251030-132,36111
20251030-133,35790
20251030-134,35292
20251030-135,34431
20251030-136,34412
20251030-137,34267
20251030-138,34264
20251030-139,34203
20251030-140,34185
20251030-141,33711
20251030-142,32142
20251030-143,32023
20251030-144,30896
20251030-145,30702
20251030-146,30517
20251030-147,30140
20251030-148,30086
20251030-149,30005
20251030-150,29942
20251030-151,29714
20251030-152,29642
20251030-153,28529
20251030-154,28417
20251030-155,28247
20251030-156,26798
20251030-157,26729
20251030-158,26488
20251030-159,26180
20251030-160,26169
20251030-161,25400
20251030-162,25312
20251030-163,25289
20251030-164,25245
20251030-165,25116
20251030-166,24913
20251030-167,24895
20251030-168,24792
20251030-169,24699
20251030-170,24606
20251030-171,24371
20251030-172,24349
20251030-173,24340
20251030-174,23170
20251030-175,22962
20251030-176,22766
20251030-177,22601
20251030-178,22557
20251030-179,22322
20251030-180,22209
20251030-181,22031
20251030-182,21809
20251030-183,21668
20251030-184,21604
20251030-185,21540
20251030-186,21530
20251030-187,21427
20251030-188,21043
20251030-189,20513
20251030-190,20332
20251030-191,20328
20251030-192,20322
20251030-193,20321
20251030-194,20291
20251030-195,20227
20251030-196,20080
20251030-197,20049
20251030-198,20006
20251030-199,19744
20251030-200,19548
20251030-201,19431
20251030-202,18882
20251030-203,18799
20251030-204,18781
20251030-205,18544
20251030-206,18457
20251030-207,18314
20251030-208,18287
20251030-209,18258
20251030-210,18168
20251030-211,17963
20251030-212,17948
20251030-213,17869
20251030-214,17777
20251030-215,17531
20251030-216,17505
20251030-217,17464
20251030-218,17348
20251030-219,17321
20251030-220,17053
20251030-221,17006
20251030-222,16944
20251030-223,16843
20251030-224,16785
20251030-225,16780
20251030-226,16657
20251030-227,16533
20251030-228,16451
20251030-229,16405
20251030-230,16396
20251030-231,16394
20251030-232,16388
20251030-233,16316
20251030-234,16248
20251030-235,16238
20251030-236,16179
20251030-237,16145
20251030-238,16128
20251030-239,16045
20251030-240,16042
20251030-241,15990
20251030-242,15893
20251030-243,15868
20251030-244,15857
20251030-245,15798
20251030-246,15766
20251030-247,15737
20251030-248,15672
20251030-249,15629
20251030-250,15593
20251030-251,15585
20251030-252,15579
20251030-253,15557
20251030-254,15556
20251030-255,15468
20251030-256,15338
20251030-257,15258
20251030-258,15233
20251030-259,15208
20251030-260,15157
20251030-261,15117
20251030-262,15069
20251030-263,15020
20251030-264,14969
20251030-265,14759
20251030-266,14727
20251030-267,14713
20251030-268,14683
20251030-269,14626
20251030-270,14621
20251030-271,14538
20251030-272,14523
20251030-273,14499
20251030-274,14427
20251030-275,14409
20251030-276,14406
20251030-277,14381
20251030-278,14337
20251030-279,14320
20251030-280,14251
20251030-281,14236
20251030-282,14146
20251030-283,14087
20251030-284,14083
20251030-285,14083
20251030-286,14049
20251030-287,14028
20251030-288,14008
20251030-289,13961
20251030-290,13946
20251030-291,13920
20251030-292,13917
20251030-293,13912
20251030-294,13858
20251030-295,13850
20251030-296,13846
20251030-297,13828
20251030-298,13816
20251030-299,13808
20251030-300,13803
