20251106-1,1150500
20251106-2,713756
20251106-3,450907
20251106-4,444513
20251106-5,440911
20251106-6,428961
20251106-7,369712
20251106-8,346619
20251106-9,334390
20251106-10,333975
20251106-11,248437
20251106-12,231422
20251106-13,189163
20251106-14,182037
20251106-15,181087
20251106-16,181038
20251106-17,178241
20251106-18,176025
20251106-19,175910
20251106-20,175749
20251106-21,175392
20251106-22,175095
20251106-23,174622
20251106-24,164717
20251106-25,149972
20251106-26,141814
20251106-27,137252
20251106-28,133994
20251106-29,132997
20251106-30,132075
20251106-31,131703
20251106-32,131270
20251106-33,131170
20251106-34,130778
20251106-35,130479
20251106-36,129710
20251106-37,127998
20251106-38,127544
20251106-39,127490
20251106-40,127138
20251106-41,120194
20251106-42,114869
20251106-43,110693
20251106-44,109827
20251106-45,105049
20251106-46,105045
20251106-47,101086
20251106-48,99407
20251106-49,99011
20251106-50,98718
20251106-51,98640
20251106-52,97877
20251106-53,95985
20251106-54,95210
20251106-55,92516
20251106-56,92461
20251106-57,92012
20251106-58,90049
20251106-59,89585
20251106-60,89104
20251106-61,88924
20251106-62,88508
20251106-63,88169
20251106-64,87979
20251106-65,87491
20251106-66,87236
20251106-67,87166
20251106-68,87144
20251106-69,85222
20251106-70,84794
20251106-71,84757
20251106-72,83298
20251106-73,83080
20251106-74,82905
20251106-75,81716
20251106-76,80986
20251106-77,79078
20251106-78,79069
20251106-79,78684
20251106-80,78370
20251106-81,78282
20251106-82,77992
20251106-83,77588
20251106-84,77376
20251106-85,77245
20251106-86,76946
20251106-87,72434
20251106-88,71263
20251106-89,70312
20251106-90,70042
20251106-91,69576
20251106-92,68755
20251106-93,67914
20251106-94,66491
20251106-95,66300
20251106-96,66259
20251106-97,66160
20251106-98,66004
20251106-99,65929
20251106-100,65842
20251106-101,65370
20251106-102,65361
20251106-103,64833
20251106-104,64619
20251106-105,64437
20251106-106,64068
20251106-107,62419
20251106-108,61138
20251106-109,60844
20251106-110,59793
20251106-111,59441
20251106-112,59176
20251106-113,59049
20251106-114,57261
20251106-115,56285
20251106-116,55046
20251106-117,54178
20251106-118,53757
20251106-119,53730
20251106-120,53242
20251106-121,53124
20251106-122,52861
20251106-123,52735
20251106-124,52316
20251106-125,52276
20251106-126,52073
20251106-127,52049
20251106-128,51973
20251106-129,51945
20251106-130,51874
20251106-131,51863
20251106-132,51777
20251106-133,51544
20251106-134,51367
20251106-135,50785
20251106-136,50545
20251106-137,49230
20251106-138,48150
20251106-139,47571
20251106-140,47430
20251106-141,47256
20251106-142,47214
20251106-143,46776
20251106-144,46759
20251106-145,46679
20251106-146,46451
20251106-147,46400
20251106-148,46259
20251106-149,46146
20251106-150,45972
20251106-151,45966
20251106-152,45944
20251106-153,44984
20251106-154,42323
20251106-155,41439
20251106-156,40225
20251106-157,38241
20251106-158,37701
20251106-159,37343
20251106-160,36940
20251106-161,36706
20251106-162,36683
20251106-163,36304
20251106-164,36018
20251106-165,35830
20251106-166,35552
20251106-167,35394
20251106-168,35087
20251106-169,34956
20251106-170,34785
20251106-171,34758
20251106-172,34599
20251106-173,34484
20251106-174,34406
20251106-175,34335
20251106-176,34107
20251106-177,33852
20251106-178,33824
20251106-179,33772
20251106-180,33770
20251106-181,33749
20251106-182,33690
20251106-183,33383
20251106-184,33165
20251106-185,32957
20251106-186,32893
20251106-187,32871
20251106-188,31539
20251106-189,31440
20251106-190,31165
20251106-191,31073
20251106-192,30962
20251106-193,30845
20251106-194,30803
20251106-195,30758
20251106-196,30747
20251106-197,30470
20251106-198,30269
20251106-199,29916
20251106-200,29781
20251106-201,29648
20251106-202,29637
20251106-203,29615
20251106-204,29606
20251106-205,29583
20251106-206,29559
20251106-207,29558
20251106-208,29351
20251106-209,29244
20251106-210,28937
20251106-211,28919
20251106-212,28637
20251106-213,28394
20251106-214,28350
20251106-215,28223
20251106-216,27671
20251106-217,27607
20251106-218,27578
20251106-219,27268
20251106-220,27183
20251106-221,27046
20251106-222,26800
20251106-223,26542
20251106-224,26467
20251106-225,26460
20251106-226,25684
20251106-227,25317
20251106-228,24972
20251106-229,24819
20251106-230,24753
20251106-231,24642
20251106-232,24583
20251106-233,24504
20251106-234,24451
20251106-235,24443
20251106-236,24363
20251106-237,24341
20251106-238,24330
20251106-239,24280
20251106-240,24123
20251106-241,23859
20251106-242,23243
20251106-243,22859
20251106-244,22620
20251106-245,22617
20251106-246,22352
20251106-247,22326
20251106-248,22158
20251106-249,22045
20251106-250,22041
20251106-251,21790
20251106-252,21745
20251106-253,21488
20251106-254,21469
20251106-255,21348
20251106-256,21197
20251106-257,21095
20251106-258,21000
20251106-259,20813
20251106-260,20691
20251106-261,20620
20251106-262,20484
20251106-263,20482
20251106-264,20081
20251106-265,19939
20251106-266,19871
20251106-267,19576
20251106-268,19435
20251106-269,19345
20251106-270,19312
20251106-271,19293
20251106-272,19276
20251106-273,18863
20251106-274,18858
20251106-275,18698
20251106-276,18578
20251106-277,18545
20251106-278,18359
20251106-279,18198
20251106-280,17945
20251106-281,17885
20251106-282,17883
20251106-283,17827
20251106-284,17811
20251106-285,17722
20251106-286,17705
20251106-287,17699
20251106-288,17588
20251106-289,17584
20251106-290,17494
20251106-291,17308
20251106-292,17015
20251106-293,17007
20251106-294,16828
20251106-295,16699
20251106-296,16553
20251106-297,16333
20251106-298,16128
20251106-299,16089
20251106-300,16033
