20251029-1,478758
20251029-2,394294
20251029-3,393999
20251029-4,358231
20251029-5,352885
20251029-6,351001
20251029-7,350415
20251029-8,343417
20251029-9,342241
20251029-10,337741
20251029-11,334993
20251029-12,241993
20251029-13,225201
20251029-14,225018
20251029-15,223132
20251029-16,215081
20251029-17,200011
20251029-18,199479
20251029-19,187846
20251029-20,180788
20251029-21,178633
20251029-22,177897
20251029-23,177383
20251029-24,175565
20251029-25,164531
20251029-26,162659
20251029-27,162514
20251029-28,148430
20251029-29,146572
20251029-30,140698
20251029-31,140039
20251029-32,137121
20251029-33,131866
20251029-34,129545
20251029-35,126411
20251029-36,118032
20251029-37,115807
20251029-38,114592
20251029-39,106769
20251029-40,103417
20251029-41,103359
20251029-42,102877
20251029-43,101079
20251029-44,99872
20251029-45,99742
20251029-46,98220
20251029-47,97160
20251029-48,96549
20251029-49,95512
20251029-50,93117
20251029-51,93052
20251029-52,92212
20251029-53,90627
20251029-54,90603
20251029-55,89806
20251029-56,88743
20251029-57,87475
20251029-58,87232
20251029-59,87146
20251029-60,87108
20251029-61,86960
20251029-62,86713
20251029-63,86617
20251029-64,86568
20251029-65,86457
20251029-66,84820
20251029-67,84550
20251029-68,83789
20251029-69,83716
20251029-70,83520
20251029-71,83250
20251029-72,83235
20251029-73,83195
20251029-74,83082
20251029-75,81934
20251029-76,81544
20251029-77,81016
20251029-78,78878
20251029-79,78701
20251029-80,77568
20251029-81,77332
20251029-82,77165
20251029-83,76835
20251029-84,76809
20251029-85,76576
20251029-86,76334
20251029-87,76214
20251029-88,76114
20251029-89,74685
20251029-90,72181
20251029-91,71766
20251029-92,70140
20251029-93,69797
20251029-94,68565
20251029-95,67689
20251029-96,66669
20251029-97,66247
20251029-98,66150
20251029-99,66026
20251029-100,65555
20251029-101,65130
20251029-102,64823
20251029-103,64066
20251029-104,63911
20251029-105,63871
20251029-106,63798
20251029-107,62694
20251029-108,62467
20251029-109,62080
20251029-110,58039
20251029-111,58037
20251029-112,56381
20251029-113,56365
20251029-114,56290
20251029-115,55802
20251029-116,55480
20251029-117,55388
20251029-118,55374
20251029-119,55196
20251029-120,54521
20251029-121,53604
20251029-122,53436
20251029-123,53411
20251029-124,53334
20251029-125,52834
20251029-126,52145
20251029-127,51871
20251029-128,51853
20251029-129,51792
20251029-130,51730
20251029-131,51605
20251029-132,51576
20251029-133,51283
20251029-134,51008
20251029-135,50737
20251029-136,46613
20251029-137,46537
20251029-138,46433
20251029-139,46419
20251029-140,45627
20251029-141,45330
20251029-142,44171
20251029-143,43775
20251029-144,43682
20251029-145,43171
20251029-146,42029
20251029-147,41278
20251029-148,41049
20251029-149,39983
20251029-150,39807
20251029-151,38292
20251029-152,37946
20251029-153,37944
20251029-154,37636
20251029-155,37580
20251029-156,36492
20251029-157,35954
20251029-158,35807
20251029-159,35777
20251029-160,35748
20251029-161,34886
20251029-162,34713
20251029-163,34701
20251029-164,34652
20251029-165,34528
20251029-166,34460
20251029-167,34295
20251029-168,34027
20251029-169,34008
20251029-170,33771
20251029-171,33761
20251029-172,33640
20251029-173,33640
20251029-174,33619
20251029-175,33576
20251029-176,33101
20251029-177,32571
20251029-178,31157
20251029-179,30995
20251029-180,30808
20251029-181,30780
20251029-182,30692
20251029-183,30642
20251029-184,30612
20251029-185,30381
20251029-186,30283
20251029-187,30092
20251029-188,30078
20251029-189,29935
20251029-190,29892
20251029-191,29829
20251029-192,29826
20251029-193,29665
20251029-194,29630
20251029-195,29232
20251029-196,29200
20251029-197,29160
20251029-198,29083
20251029-199,29078
20251029-200,28602
20251029-201,28159
20251029-202,28050
20251029-203,27864
20251029-204,27755
20251029-205,27423
20251029-206,27227
20251029-207,26972
20251029-208,26555
20251029-209,26028
20251029-210,25744
20251029-211,25559
20251029-212,25417
20251029-213,25167
20251029-214,25105
20251029-215,25035
20251029-216,24803
20251029-217,24658
20251029-218,24509
20251029-219,24431
20251029-220,24332
20251029-221,24321
20251029-222,24302
20251029-223,24287
20251029-224,24006
20251029-225,23836
20251029-226,23680
20251029-227,23632
20251029-228,23137
20251029-229,23128
20251029-230,22982
20251029-231,22978
20251029-232,22611
20251029-233,22577
20251029-234,22339
20251029-235,21972
20251029-236,21821
20251029-237,21503
20251029-238,21496
20251029-239,21361
20251029-240,20740
20251029-241,20673
20251029-242,20527
20251029-243,20412
20251029-244,20251
20251029-245,20166
20251029-246,20020
20251029-247,20015
20251029-248,19632
20251029-249,19292
20251029-250,19183
20251029-251,18673
20251029-252,18668
20251029-253,18521
20251029-254,18423
20251029-255,18208
20251029-256,18057
20251029-257,17985
20251029-258,17912
20251029-259,17754
20251029-260,17654
20251029-261,17486
20251029-262,17367
20251029-263,17166
20251029-264,17115
20251029-265,17079
20251029-266,16883
20251029-267,16672
20251029-268,16167
20251029-269,16156
20251029-270,16027
20251029-271,15710
20251029-272,15675
20251029-273,15583
20251029-274,15578
20251029-275,15496
20251029-276,15475
20251029-277,15419
20251029-278,15382
20251029-279,15377
20251029-280,15366
20251029-281,15344
20251029-282,15336
20251029-283,15326
20251029-284,15301
20251029-285,15292
20251029-286,15265
20251029-287,15218
20251029-288,15191
20251029-289,15189
20251029-290,15091
20251029-291,15043
20251029-292,15036
20251029-293,15031
20251029-294,15024
20251029-295,15002
20251029-296,14998
20251029-297,14994
20251029-298,14974
20251029-299,14875
20251029-300,14807
